ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_age_ms,depth_m,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-27T12:32:38.022Z,0.5.1,false,0.00,15.33,false,false,false,false,false,none,1000,1532,1000,1500,1609,1458,0.0,196.5,1660,false,15846,0.86,run,1621,false,true,1468,230.7,241.7,154312,38.846519,-77.161995,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.98,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1537,10,1856487826,0.4,145,,,,,false,,
2026-06-27T12:32:39.023Z,0.5.1,false,0.00,15.34,false,false,false,false,false,none,1000,1531,1000,1500,1378,1458,0.0,196.5,1660,false,16843,0.86,run,1617,false,true,1469,232.0,243.0,154324,38.846516,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.08,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1458,10,1856487826,0.6,146,,,,,false,,
2026-06-27T12:32:40.039Z,0.5.1,false,0.00,15.31,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,196.5,1660,false,17871,0.86,run,1621,false,true,1469,231.9,242.9,154324,38.846516,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.45,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1537,10,1856487826,0.5,147,,,,,false,,
2026-06-27T12:32:40.956Z,0.5.1,false,0.00,15.31,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,196.5,1660,false,18789,0.86,run,1621,false,true,1469,231.4,242.4,154344,38.846512,-77.162003,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.71,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,9,true,1537,10,1856487826,0.6,148,,,,,false,,
2026-06-27T12:32:42.107Z,0.5.1,false,-0.00,15.33,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,216.4,1660,false,19934,0.86,run,1621,false,true,1469,230.9,241.9,154336,38.846508,-77.162010,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.58,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1537,11,1856487826,0.6,149,,,,,false,,
2026-06-27T12:32:43.157Z,0.5.1,false,-0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1458,0.0,216.4,1660,false,982,0.88,run,1621,false,true,1469,231.0,242.0,154324,38.846504,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.76,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1537,10,1856487826,0.4,150,,,,,false,,
2026-06-27T12:32:44.040Z,0.5.1,false,0.00,15.34,false,false,false,false,false,none,1000,1532,1000,1500,1609,1457,0.0,216.4,1660,false,1872,0.88,run,1621,false,true,1468,231.6,242.6,154328,38.846504,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.10,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,9,true,1537,10,1856487826,0.4,151,,,,,false,,
2026-06-27T12:32:45.157Z,0.5.1,false,0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,216.4,1660,false,2982,0.88,run,1621,false,true,1469,232.1,243.1,154324,38.846500,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.30,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1537,10,1856487826,0.7,152,,,,,false,,
2026-06-27T12:32:46.074Z,0.5.1,false,0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,216.4,1660,false,3902,0.88,run,1621,false,true,1469,232.6,243.6,154332,38.846500,-77.162018,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.55,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1537,10,1856487826,0.7,153,,,,,false,,
2026-06-27T12:32:47.024Z,0.5.1,false,0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1458,0.0,223.6,1660,false,4826,0.88,run,1621,false,true,1469,233.3,244.3,154340,38.846497,-77.162025,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.19,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1537,10,1856487826,0.7,154,,,,,false,,
2026-06-27T12:32:48.024Z,0.5.1,false,0.00,15.34,false,false,false,false,false,none,1000,1531,1000,1500,1609,1458,0.0,229.2,1660,false,5849,0.88,run,1621,false,true,1469,234.0,245.0,154324,38.846493,-77.162025,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.15,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1537,10,1856487826,0.7,155,,,,,false,,
2026-06-27T12:32:49.058Z,0.5.1,false,0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,229.2,1660,false,6873,0.88,run,1621,false,true,1469,234.5,245.5,154332,38.846493,-77.162033,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.06,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1537,10,1856487826,0.5,156,,,,,false,,
2026-06-27T12:32:49.975Z,0.5.1,false,0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,236.9,1660,false,7795,0.88,run,1621,false,true,1469,235.0,246.0,154324,38.846493,-77.162033,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.88,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1537,10,1856487826,0.8,157,,,,,false,,
2026-06-27T12:32:51.108Z,0.5.1,false,-0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,238.3,1660,false,8932,0.88,run,1621,false,true,1469,235.9,246.9,154312,38.846489,-77.162041,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.71,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1537,10,1856487826,0.7,158,,,,,false,,
2026-06-27T12:32:51.958Z,0.5.1,false,0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,240.7,1660,false,9778,0.88,run,1621,false,true,1469,236.4,247.4,154336,38.846489,-77.162041,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.79,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1537,11,1856487826,0.7,159,,,,,false,,
2026-06-27T12:32:53.041Z,0.5.1,false,0.00,15.34,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,244.8,1660,false,10873,0.88,run,1621,false,true,1469,237.1,248.1,154328,38.846489,-77.162048,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.05,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1537,10,1856487826,0.6,160,,,,,false,,
2026-06-27T12:32:53.975Z,0.5.1,false,0.00,15.30,false,false,false,false,false,none,1000,1531,1000,1500,1542,1458,0.0,244.8,1660,false,11789,0.88,run,1619,false,true,1469,238.2,249.2,154336,38.846489,-77.162048,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.56,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1514,10,1856487826,0.4,161,,,,,false,,
2026-06-27T12:32:54.976Z,0.5.1,false,0.00,15.30,false,false,false,false,false,none,1000,1531,1000,1500,1198,1458,0.0,244.8,1660,false,12810,0.88,run,1612,false,true,1469,240.0,251.0,154340,38.846485,-77.162056,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.81,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1389,10,1856487826,0.6,162,,,,,false,,
2026-06-27T12:32:56.026Z,0.5.1,false,0.00,15.36,false,false,false,false,false,none,1000,1531,1000,1500,1609,1457,0.0,248.9,1660,false,13842,0.88,run,1621,false,true,1469,239.4,250.4,154352,38.846485,-77.162056,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.18,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,5,true,1537,9,1856487826,0.7,163,,,,,false,,
2026-06-27T12:32:57.059Z,0.5.1,false,0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1500,1209,1457,0.0,245.9,1660,false,14884,0.88,run,1612,false,true,1469,237.0,248.0,154340,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.54,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1401,10,1856487826,0.7,164,,,,,false,,
2026-06-27T12:32:58.076Z,0.5.1,false,-0.00,15.32,false,false,false,false,false,none,1000,1531,1000,1510,1565,1457,0.0,245.9,1660,false,15889,0.88,run,1621,false,true,1469,234.6,245.6,154332,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.36,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1536,9,1856487826,0.5,165,,,,,false,,
2026-06-27T12:32:58.993Z,0.5.1,false,0.00,15.27,false,false,false,false,false,none,1000,1531,1000,1500,1283,1457,0.0,245.9,1660,false,16817,0.88,run,1614,false,true,1469,231.5,242.5,154340,38.846481,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.60,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1426,10,1856487826,0.5,166,,,,,false,,
2026-06-27T12:33:00.143Z,0.5.1,false,0.00,15.31,false,false,false,false,false,none,1000,1531,1000,1500,1307,1457,0.0,245.9,1660,false,17962,0.88,run,1615,false,true,1469,228.3,239.3,154344,38.846481,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.44,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1430,10,1856487826,0.3,167,,,,,false,,
