ts,v,approach_lock,audio_ok,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_age_ms,depth_mode,depth_raw_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mission_active,mode,nav_on,pid_kd,pid_kp,port_us,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,stbd_us,uptime,wp_bearing,wp_count,wp_dist_m,wp_idx,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-07-03T12:26:49.087Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,171.9,183.5,134288,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.22,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,3,true,1503,12,2098578137,0.1,1500,592,,0,,0,,,false,,
2026-07-03T12:26:50.087Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,170.1,181.7,134300,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.76,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,5,true,1503,12,2098578137,0.1,1500,593,,0,,0,,,false,,
2026-07-03T12:26:51.087Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,168.6,180.2,134296,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.14,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,5,true,1503,12,2098578137,0.1,1500,594,,0,,0,,,false,,
2026-07-03T12:26:52.087Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,168.6,180.2,134300,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.89,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,4,true,1503,12,2098578137,0.1,1500,595,,0,,0,,,false,,
2026-07-03T12:26:53.087Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,167.9,179.5,134288,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.86,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,1,true,1503,12,2098578137,0.1,1500,596,,0,,0,,,false,,
2026-07-03T12:26:54.104Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1001,-0.6,296.8,1660,false,,off,,false,true,1500,166.8,178.4,134276,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.91,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,5,true,1503,12,2098578137,0.1,1500,597,,0,,0,,,false,,
2026-07-03T12:26:55.138Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,166.1,177.7,134272,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,24.03,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,5,true,1503,12,2098578137,0.1,1500,598,,0,,0,,,false,,
2026-07-03T12:26:56.121Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,165.5,177.1,134072,38.846481,-77.162064,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.46,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,2,true,1503,12,2098578137,0.1,1500,599,,0,,0,,,false,,
2026-07-03T12:26:57.105Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,164.4,176.0,134272,38.846481,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,25.28,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,7,true,1503,12,2098578137,0.0,1500,600,,0,,0,,,false,,
2026-07-03T12:26:58.105Z,0.7.5,false,false,15.11,false,false,false,false,false,none,1000,1497,1000,1500,1509,1000,-0.6,296.8,1660,false,,off,,false,true,1500,163.7,175.3,134272,38.846481,-77.162071,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.53,false,MANUAL,false,8.00,1.50,1500,false,false,off,false,3,false,200,25,5,true,1503,12,2098578137,0.0,1500,601,,0,,0,,,false,,
