ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_set
2026-06-14T10:38:53.884Z,test_29-pool2.6-magcal2,true,-0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1001,0.0,170.5,1720,false,off,1500,false,true,219.9,230.9,205412,38.846516,-77.162018,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.07,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1465,12,4204574309,0.0,170,false
2026-06-14T10:38:54.900Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1001,0.0,170.5,1720,false,off,1500,false,true,220.4,231.4,205420,38.846516,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.44,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1465,12,4204574309,0.1,171,false
2026-06-14T10:38:55.955Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1001,0.0,170.5,1720,false,off,1500,false,true,220.2,231.2,205408,38.846516,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.17,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1465,12,4204574309,0.1,172,false
2026-06-14T10:38:56.955Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1001,0.0,170.5,1720,false,off,1500,false,true,220.2,231.2,205416,38.846512,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.33,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1465,12,4204574309,0.0,173,false
2026-06-14T10:38:57.888Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1000,0.0,170.5,1720,false,off,1500,false,true,219.8,230.8,205400,38.846512,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.68,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1465,12,4204574309,0.0,174,false
2026-06-14T10:38:58.889Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1000,0.0,170.5,1720,false,off,1500,false,true,219.9,230.9,205412,38.846508,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.47,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,4204574309,0.0,175,false
2026-06-14T10:38:59.922Z,test_29-pool2.6-magcal2,true,0.00,15.91,false,false,false,false,false,none,1000,1000,1500,1399,1000,0.0,170.5,1720,false,off,1500,false,true,220.7,231.7,205412,38.846508,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.44,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,2,true,1465,12,4204574309,0.1,176,false
2026-06-14T10:39:00.939Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1000,0.0,170.5,1720,false,off,1500,false,true,220.9,231.9,205400,38.846508,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.83,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,6,true,1465,12,4204574309,0.1,177,false
2026-06-14T10:39:01.856Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1399,1000,0.0,170.5,1720,false,off,1500,false,true,220.9,231.9,205188,38.846504,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.83,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1465,12,4204574309,0.0,178,false
2026-06-14T10:39:02.906Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1501,1399,1000,0.0,170.5,1720,false,off,1500,false,true,220.9,231.9,205412,38.846504,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.02,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,4204574309,0.0,179,false
2026-06-14T10:39:03.906Z,test_29-pool2.6-magcal2,true,-0.00,15.82,false,false,false,false,false,none,1000,1000,1501,1399,1496,0.0,170.5,1720,false,off,1630,false,true,220.6,231.6,205416,38.846504,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.55,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,2,true,1465,12,4204574309,0.0,180,false
2026-06-14T10:39:04.923Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1400,1000,0.0,170.5,1720,false,off,1500,false,true,221.6,232.6,205420,38.846500,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.62,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1466,12,4204574309,0.0,181,false
2026-06-14T10:39:05.990Z,test_29-pool2.6-magcal2,true,0.00,15.90,false,false,false,false,false,none,1000,1000,1500,1859,1038,0.0,170.5,1720,false,off,1500,false,true,218.8,229.8,205420,38.846500,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.50,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,4,true,1622,12,4204574309,0.2,182,false
2026-06-14T10:39:06.906Z,test_29-pool2.6-magcal2,true,0.00,15.68,false,false,false,false,false,none,1000,1000,1500,1877,1623,0.0,170.5,1720,false,off,1687,false,true,215.1,226.1,205420,38.846497,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.18,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1628,12,4204574309,0.1,183,false
2026-06-14T10:39:07.907Z,test_29-pool2.6-magcal2,true,-0.00,15.89,false,false,false,false,false,none,1000,1000,1500,1565,1097,0.0,170.5,1720,false,off,1500,false,true,207.1,218.1,205420,38.846497,-77.162010,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,13.13,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1522,12,4204574309,0.3,184,false
