ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T18:03:49.025Z,0.6.3,false,false,0.00,15.13,false,false,false,false,false,none,1000,1571,2000,1500,1573,1000,0.4,74.1,1660,false,off,1660,false,true,1429,71.4,82.0,145076,38.846207,-77.162170,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.66,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,2,true,1500,11,129474922,2.2,430,155.1,15.5,38.846081,-77.162094,true,38.846169,-77.162331
2026-06-28T18:03:50.042Z,0.6.3,false,false,0.00,15.12,false,false,false,false,false,none,1000,1571,2000,1500,1573,1000,0.4,70.9,1660,false,off,1660,false,true,1429,71.1,81.7,145072,38.846210,-77.162163,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.68,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,0,true,1500,11,129474922,2.1,431,157.9,15.6,38.846081,-77.162094,true,38.846169,-77.162331
2026-06-28T18:03:51.042Z,0.6.3,false,false,0.00,15.12,false,false,false,false,false,none,1000,1571,2000,1500,1573,1000,0.3,68.3,1660,false,off,1660,false,true,1429,70.8,81.5,145072,38.846214,-77.162148,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.66,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,2,true,1500,11,129474922,1.9,432,163.3,15.5,38.846081,-77.162094,true,38.846169,-77.162331
2026-06-28T18:03:52.026Z,0.6.3,false,false,0.00,15.10,false,false,false,false,false,none,1000,1571,2000,1500,1573,1000,0.2,68.3,1660,false,off,1660,false,true,1429,69.6,80.4,145072,38.846218,-77.162140,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.75,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1500,12,129474922,1.9,433,166.2,15.8,38.846081,-77.162094,true,38.846169,-77.162331
2026-06-28T18:03:53.026Z,0.6.3,false,false,0.00,15.09,false,false,false,false,false,none,1000,1571,2000,1500,1573,1000,0.2,69.1,1660,false,off,1660,false,true,1429,69.3,80.1,145076,38.846222,-77.162132,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.50,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1500,11,129474922,2.0,434,168.6,16.0,38.846081,-77.162094,true,38.846169,-77.162331
2026-06-28T18:03:54.093Z,0.6.3,false,false,0.00,15.14,false,false,false,false,false,none,1000,1571,2000,1500,1573,1000,0.1,68.0,1660,false,off,1660,false,true,1429,68.7,79.6,145068,38.846222,-77.162125,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.30,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,2,true,1500,11,129474922,2.0,435,204.9,166.1,38.844868,-77.162933,true,38.846222,-77.162125
2026-06-28T18:03:55.043Z,0.6.3,false,false,0.00,15.11,false,false,false,false,false,none,1000,1571,2000,1500,1573,1000,0.1,68.3,1660,false,off,1660,false,true,1429,68.1,79.0,145072,38.846226,-77.162109,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.96,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1500,11,129474922,2.0,436,171.7,23.1,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:03:56.026Z,0.6.3,false,false,0.00,15.12,false,false,false,false,false,none,1000,1571,2000,1500,1573,1000,0.1,68.8,1660,false,off,1660,false,true,1429,67.9,78.8,145068,38.846230,-77.162102,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.30,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1500,11,129474922,2.2,437,173.6,23.5,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:03:57.036Z,0.6.3,false,false,0.00,15.10,false,false,false,false,false,none,1000,1571,2000,1500,1573,1000,0.2,69.8,1660,false,off,1660,false,true,1429,68.7,79.5,145076,38.846233,-77.162086,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.88,AUTO,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1500,11,129474922,2.4,438,176.8,23.8,38.846020,-77.162071,true,38.846226,-77.162109
2026-06-28T18:03:58.035Z,0.6.3,false,false,0.00,15.13,false,false,false,false,false,none,1000,1571,1000,1500,1574,1000,0.2,68.5,1660,false,off,1500,false,true,1429,67.6,78.4,145076,38.846237,-77.162079,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.37,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1525,11,129474922,1.8,439,178.4,24.2,38.846020,-77.162071,true,38.846226,-77.162109
