ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-14T10:45:51.562Z,test_29-pool2.6-magcal2,true,0.00,15.74,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.3,267.5,1660,false,off,1674,false,true,257.8,268.5,205392,38.846165,-77.162094,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,16.01,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1652,12,4204574309,1.8,588,280.0,8.8,38.846180,-77.162193,true,38.846172,-77.161934
2026-06-14T10:45:52.479Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.3,269.4,1660,false,off,1644,false,true,274.2,284.9,205384,38.846165,-77.162109,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,13.73,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1330,12,4204574309,1.6,589,281.8,7.5,38.846180,-77.162193,true,38.846172,-77.161934
2026-06-14T10:45:53.546Z,test_29-pool2.6-magcal2,true,0.00,15.74,false,false,false,false,false,none,1000,2000,1500,1609,1000,-0.2,274.2,1660,false,off,1669,false,true,280.9,292.1,205376,38.846165,-77.162117,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.18,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,8,true,1604,12,4204574309,1.6,590,282.9,6.8,38.846180,-77.162193,true,38.846172,-77.161934
2026-06-14T10:45:54.529Z,test_29-pool2.6-magcal2,true,0.00,15.76,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.2,270.2,1660,false,off,1670,false,true,263.7,274.5,205368,38.846169,-77.162125,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,16.84,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1613,12,4204574309,1.7,591,280.8,6.1,38.846180,-77.162193,true,38.846172,-77.161934
2026-06-14T10:45:55.579Z,test_29-pool2.6-magcal2,true,0.00,15.75,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.2,271.9,1660,false,off,1653,false,true,281.2,292.0,205404,38.846169,-77.162140,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,19.90,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1418,12,4204574309,1.7,592,283.8,4.8,38.846180,-77.162193,true,38.846172,-77.161934
2026-06-14T10:45:56.680Z,test_29-pool2.6-magcal2,true,0.00,15.68,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.2,272.4,1660,false,off,1676,false,true,270.7,281.6,205400,38.846169,-77.162148,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,25.48,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1670,12,4204574309,1.8,593,286.0,4.2,38.846180,-77.162193,true,38.846172,-77.161934
2026-06-14T10:45:57.530Z,test_29-pool2.6-magcal2,true,0.00,15.81,false,false,false,false,true,distance,1000,2000,1500,1609,1000,0.2,268.2,1660,false,off,1500,false,true,265.8,276.6,205392,38.846169,-77.162163,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,11.46,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,8,true,1500,12,4204574309,1.7,594,293.3,2.9,38.846180,-77.162193,true,38.846172,-77.161934
2026-06-14T10:45:58.530Z,test_29-pool2.6-magcal2,true,0.00,15.82,false,false,false,false,true,distance,1000,2000,1500,1609,1000,0.2,275.9,1660,false,off,1500,false,true,280.4,291.2,205400,38.846172,-77.162170,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.02,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1500,12,4204574309,1.3,595,291.0,2.2,38.846180,-77.162193,true,38.846172,-77.161934
2026-06-14T10:45:59.546Z,test_29-pool2.6-magcal2,true,0.00,15.82,false,false,false,false,true,distance,1000,2000,1500,1609,1000,0.2,280.6,1660,false,off,1500,false,true,291.2,302.0,205260,38.846172,-77.162178,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.97,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1500,12,4204574309,1.0,596,299.9,1.6,38.846180,-77.162193,true,38.846172,-77.161934
2026-06-14T10:46:00.446Z,test_29-pool2.6-magcal2,true,0.00,15.66,false,false,false,false,false,none,1000,2000,1500,1609,1000,0.2,285.3,1660,false,off,1676,false,true,298.8,309.6,205404,38.846176,-77.162178,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,18.76,AUTO,true,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1670,12,4204574309,0.9,597,91.5,29.1,38.846169,-77.161842,true,38.846176,-77.162178
