ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_cycle,pump_manual,pump_phase,pump_phase_ms,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T21:12:18.860Z,0.6.5,,,0.00,15.09,,,,,false,,,,,,,,,110.7,,,,1660,false,true,,111.2,,,38.846729,-77.167419,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,629,,29.0,,,true,,
2026-06-28T21:12:19.860Z,0.6.5,,,0.00,15.09,,,,,false,,,,,,,,,107.1,,,,1660,false,true,,109.6,,,38.846725,-77.167404,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,630,,27.6,,,true,,
2026-06-28T21:12:20.861Z,0.6.5,,,0.00,15.07,,,,,false,,,,,,,,,105.8,,,,1660,false,true,,108.6,,,38.846722,-77.167396,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.9,631,,26.9,,,true,,
2026-06-28T21:12:21.862Z,0.6.5,,,0.00,15.08,,,,,false,,,,,,,,,104.6,,,,1660,false,true,,106.4,,,38.846722,-77.167381,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,632,,25.6,,,true,,
2026-06-28T21:12:22.862Z,0.6.5,,,0.00,15.07,,,,,false,,,,,,,,,102.3,,,,1660,false,true,,105.0,,,38.846718,-77.167374,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,633,,24.9,,,true,,
2026-06-28T21:12:23.863Z,0.6.5,,,0.00,15.08,,,,,false,,,,,,,,,104.1,,,,1660,false,true,,104.6,,,38.846714,-77.167366,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.7,634,,24.1,,,true,,
2026-06-28T21:12:24.865Z,0.6.5,,,0.00,15.02,,,,,false,,,,,,,,,103.7,,,,1660,false,true,,105.5,,,38.846710,-77.167351,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,635,,22.7,,,true,,
2026-06-28T21:12:25.866Z,0.6.5,,,0.00,15.02,,,,,false,,,,,,,,,103.0,,,,1660,false,true,,105.1,,,38.846710,-77.167343,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,636,,22.1,,,true,,
2026-06-28T21:12:26.866Z,0.6.5,,,0.00,15.08,,,,,false,,,,,,,,,104.2,,,,1660,false,true,,105.7,,,38.846706,-77.167328,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,637,,20.7,,,true,,
2026-06-28T21:12:27.867Z,0.6.5,,,0.00,15.11,,,,,false,,,,,,,,,106.5,,,,1660,false,true,,105.6,,,38.846703,-77.167320,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.9,638,,19.9,,,true,,
2026-06-28T21:12:28.870Z,0.6.5,,,0.00,15.11,,,,,false,,,,,,,,,105.2,,,,1660,false,true,,105.2,,,38.846699,-77.167313,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.8,639,,19.2,,,true,,
2026-06-28T21:12:29.870Z,0.6.5,,,0.00,15.07,,,,,false,,,,,,,,,106.6,,,,1660,false,true,,105.6,,,38.846699,-77.167297,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.9,640,,17.9,,,true,,
2026-06-28T21:12:30.870Z,0.6.5,,,0.00,15.09,,,,,false,,,,,,,,,107.9,,,,1660,false,true,,106.0,,,38.846695,-77.167290,,,,,,,,,,,,,,AUTO,,,,false,,,,,,,,,,,,1500,12,,1.9,641,,17.2,,,true,,
