ts,v,approach_lock,audio_ok,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,diff_gain,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mission_active,mode,nav_on,pid_kd,pid_kp,port_us,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,stbd_us,uptime,wp_bearing,wp_count,wp_dist_m,wp_idx,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-07-04T10:51:59.727Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1679,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1321,23.1,36.1,132616,38.847134,-77.149132,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.53,false,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,1,true,1502,12,2989740152,0.1,1500,653,,0,,0,,,false,,
2026-07-04T10:52:00.827Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1680,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1320,24.3,37.3,132616,38.847130,-77.149124,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.73,false,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,5,true,1502,12,2989740152,0.2,1500,654,,0,,0,,,false,,
2026-07-04T10:52:01.944Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1680,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1320,25.1,38.1,132620,38.847134,-77.149124,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.77,false,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,3,true,1502,12,2989740152,0.2,1500,655,,0,,0,,,false,,
2026-07-04T10:52:03.011Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1679,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1321,26.5,39.5,132612,38.847134,-77.149124,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.25,false,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,0,true,1502,12,2989740152,0.2,1500,656,,0,,0,,,false,,
2026-07-04T10:52:04.144Z,0.8.0,false,false,15.04,false,false,false,false,false,none,1000,1680,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1320,26.9,40.0,132608,38.847134,-77.149124,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.07,false,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,2,true,1502,12,2989740152,0.1,1500,658,,0,,0,,,false,,
2026-07-04T10:52:05.228Z,0.8.0,false,false,15.04,false,false,false,false,false,none,1000,1680,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1320,27.7,40.7,132616,38.847134,-77.149124,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,18.95,false,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,3,true,1502,12,2989740152,0.2,1500,659,,0,,0,,,false,,
2026-07-04T10:52:06.378Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1680,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1320,28.5,41.5,132608,38.847134,-77.149124,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.91,false,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,4,true,1502,12,2989740152,0.1,1500,660,,0,,0,,,false,,
2026-07-04T10:52:07.612Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1680,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1320,29.0,42.1,132612,38.847134,-77.149124,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.42,false,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,7,true,1502,12,2989740152,0.1,1500,661,,0,,0,,,false,,
2026-07-04T10:52:09.045Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1680,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1320,30.3,43.3,132608,38.847134,-77.149124,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.68,false,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,5,true,1502,12,2989740152,0.2,1500,662,,0,,0,,,false,,
2026-07-04T10:52:10.129Z,0.8.0,false,false,15.05,false,false,false,false,false,none,1000,1680,1000,1500,1508,1000,-2.0,52.6,1660,false,off,1.00,false,true,1320,31.1,44.1,132608,38.847134,-77.149124,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,19.49,true,MANUAL,false,2.00,1.50,1500,false,false,off,false,3,false,200,25,3,true,1502,12,2989740152,0.2,1500,664,306.3,20,20.6,0,38.847244,-77.149315,true,,
