ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-27T19:40:51.426Z,0.5.2,false,0.00,15.26,false,false,false,false,false,none,1000,1491,1000,1500,1557,1000,4.4,281.8,1660,false,off,1500,false,true,1500,262.7,269.2,153800,38.846893,-77.167862,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.88,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1519,10,1755351024,0.3,176,,,,,false,,
2026-06-27T19:40:52.492Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1557,1000,4.4,281.8,1660,false,off,1500,false,true,1500,261.9,268.5,153800,38.846893,-77.167862,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.19,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,6,true,1519,10,1755351024,0.3,177,,,,,false,,
2026-06-27T19:40:53.442Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1557,1000,4.4,281.8,1660,false,off,1500,false,true,1500,261.5,268.0,153772,38.846893,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.93,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1519,10,1755351024,0.2,178,,,,,false,,
2026-06-27T19:40:54.459Z,0.5.2,false,0.00,15.26,false,false,false,false,false,none,1000,1491,1000,1500,1557,1000,4.4,281.8,1660,false,off,1500,false,true,1500,261.1,267.6,153784,38.846893,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.10,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,10,1755351024,0.2,179,,,,,false,,
2026-06-27T19:40:55.459Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1557,1000,4.4,281.8,1660,false,off,1500,false,true,1500,260.8,267.3,153780,38.846897,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.17,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1519,10,1755351024,0.1,180,,,,,false,,
2026-06-27T19:40:56.476Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1557,1000,4.4,281.8,1660,false,off,1500,false,true,1500,260.8,267.3,153780,38.846897,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.18,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1519,10,1755351024,0.3,181,,,,,false,,
2026-06-27T19:40:57.442Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1557,1000,4.4,281.8,1660,false,off,1500,false,true,1500,259.6,266.2,153800,38.846897,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,21.85,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,3,true,1519,10,1755351024,0.3,182,,,,,false,,
2026-06-27T19:40:58.460Z,0.5.2,false,-0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1557,1000,4.4,281.8,1660,false,off,1500,false,true,1500,259.2,265.7,153788,38.846897,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.93,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,10,1755351024,0.3,183,,,,,false,,
2026-06-27T19:40:59.443Z,0.5.2,false,0.00,15.24,false,false,false,false,false,none,1000,1491,1000,1380,1557,1000,4.4,281.8,1660,false,off,1379,false,true,1500,257.9,264.5,153776,38.846897,-77.167870,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.78,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1519,10,1755351024,0.3,184,,,,,false,,
2026-06-27T19:41:00.460Z,0.5.2,false,0.00,15.21,false,false,false,false,false,none,1000,1491,1000,1383,1556,1000,4.4,281.8,1660,false,off,1382,false,true,1500,257.5,264.1,153776,38.846897,-77.167877,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.22,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,10,1755351024,0.2,185,,,,,false,,
2026-06-27T19:41:01.460Z,0.5.2,false,0.00,15.18,false,false,false,false,false,none,1000,1491,1000,1385,1556,1000,4.4,281.8,1660,false,off,1384,false,true,1500,257.5,264.0,153780,38.846897,-77.167877,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,20.09,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,10,1755351024,0.2,186,,,,,false,,
2026-06-27T19:41:02.460Z,0.5.2,false,-0.00,15.19,false,false,false,false,false,none,1000,1491,1000,1385,1556,1000,4.4,281.8,1660,false,off,1384,false,true,1500,255.7,262.3,153764,38.846897,-77.167877,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.17,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,4,true,1519,10,1755351024,0.2,187,,,,,false,,
2026-06-27T19:41:03.460Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,255.0,261.6,153800,38.846897,-77.167877,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.54,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,9,true,1519,10,1755351024,0.1,188,,,,,false,,
2026-06-27T19:41:04.461Z,0.5.2,false,0.00,15.27,false,false,false,false,false,none,1000,1491,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,253.0,259.5,153792,38.846897,-77.167877,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,22.62,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,8,true,1519,10,1755351024,0.1,189,,,,,false,,
2026-06-27T19:41:05.461Z,0.5.2,false,0.00,15.26,false,false,false,false,false,none,1000,1492,1000,1500,1556,1000,4.4,281.8,1660,false,off,1500,false,true,1500,250.7,257.3,153800,38.846897,-77.167877,22.46,0,0,good,22.5,idle,116,true,true,-39.53,-1.35,-20.33,23.79,MANUAL,false,8.00,1.50,false,false,off,false,3,false,200,25,7,true,1519,10,1755351024,0.0,190,,,,,false,,
