ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_cycle,pump_manual,pump_phase,pump_phase_ms,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-14T10:54:30.024Z,test_29-pool2.6-magcal2,true,0.00,15.76,false,false,true,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,55.9,67.9,205388,38.846416,-77.162086,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.77,MANUAL,true,8.00,3.00,true,1,false,on,49,false,3,false,200,25,9,true,1536,12,4204574309,0.6,1106,194.0,29.7,38.846157,-77.162170,true,38.846375,-77.162155
2026-06-14T10:54:31.008Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,false,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,57.7,69.7,205396,38.846420,-77.162079,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.47,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,3,true,1536,12,4204574309,0.6,1107,195.1,30.3,38.846157,-77.162170,true,38.846375,-77.162155
2026-06-14T10:54:31.958Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,true,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,59.4,71.4,205392,38.846416,-77.162079,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.42,MANUAL,true,8.00,3.00,true,1,false,on,6,false,3,false,200,25,3,true,1536,12,4204574309,0.5,1108,195.3,29.9,38.846157,-77.162170,true,38.846375,-77.162155
2026-06-14T10:54:33.025Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,false,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,61.3,73.2,205380,38.846420,-77.162071,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.39,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,3,true,1536,12,4204574309,0.4,1109,196.3,30.5,38.846157,-77.162170,true,38.846375,-77.162155
2026-06-14T10:54:33.958Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,63.3,75.3,205396,38.846420,-77.162071,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,23.39,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,3,true,1536,12,4204574309,0.5,1110,196.3,30.5,38.846157,-77.162170,true,38.846375,-77.162155
2026-06-14T10:54:34.942Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,false,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,64.5,76.5,205396,38.846420,-77.162064,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.33,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,7,true,1536,12,4204574309,0.4,1111,197.4,30.7,38.846157,-77.162170,true,38.846375,-77.162155
2026-06-14T10:54:35.959Z,test_29-pool2.6-magcal2,true,-0.00,15.78,false,false,false,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,65.8,77.8,205400,38.846416,-77.162064,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,21.24,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,5,true,1536,12,4204574309,0.4,1112,197.7,30.3,38.846157,-77.162170,true,38.846375,-77.162155
2026-06-14T10:54:36.975Z,test_29-pool2.6-magcal2,true,0.00,15.77,false,false,true,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,67.0,79.0,205388,38.846416,-77.162056,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.15,MANUAL,true,8.00,3.00,true,1,false,on,113,false,3,false,200,25,7,true,1536,12,4204574309,0.3,1113,198.8,30.5,38.846157,-77.162170,true,38.846375,-77.162155
2026-06-14T10:54:38.010Z,test_29-pool2.6-magcal2,true,0.00,15.76,false,false,false,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,68.6,80.6,205388,38.846416,-77.162056,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,22.08,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,5,true,1536,12,4204574309,0.3,1114,198.8,30.5,38.846157,-77.162170,true,38.846375,-77.162155
2026-06-14T10:54:38.926Z,test_29-pool2.6-magcal2,true,0.00,15.78,false,false,false,false,false,none,1000,1000,1500,1608,1000,-1.0,40.9,1660,false,off,1500,false,true,69.8,81.8,205404,38.846416,-77.162056,22.46,0,100,good,22.5,done,116,true,true,-39.53,-1.35,-20.33,20.92,MANUAL,true,8.00,3.00,false,,false,off,,false,3,false,200,25,9,true,1536,12,4204574309,0.3,1115,198.8,30.5,38.846157,-77.162170,true,38.846375,-77.162155
