ts,v,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_mode,ch_reverse,ch_rudder,ch_throttle,course,cruise_us,deck_on,depth_age_ms,depth_m,depth_mode,esc_us,failsafe_ack,gps_fix,gps_simulated,heading,heap,lat,lon,mag_baseline_uT,mag_cal_progress,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_manual,pump_phase,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-05T15:31:58.374Z,test_29-pool2.1-magcal,true,0.00,16.03,false,false,false,false,false,none,1000,1000,1501,1000,2000,159.3,1620,false,3268,3.05,run,1689,false,true,false,183.2,202576,38.785358,-76.221977,27.70,100,done,138,true,true,-54.67,1.05,-34.80,36.77,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1330,12,1557232302,1.0,755,37.7,50.9,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:31:59.440Z,test_29-pool2.1-magcal,true,0.00,16.02,false,false,false,false,false,none,1000,1000,1500,1000,2000,151.0,1620,false,4318,3.05,run,1689,false,true,false,178.2,202576,38.785355,-76.221970,27.70,100,done,138,true,true,-54.67,1.05,-34.80,35.11,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1330,12,1557232302,0.8,756,36.7,50.8,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:00.390Z,test_29-pool2.1-magcal,true,0.00,15.98,false,false,false,false,false,none,1000,1000,1500,1000,2000,139.1,1620,false,5255,3.05,run,1689,false,true,false,174.1,202576,38.785355,-76.221962,27.70,100,done,138,true,true,-54.67,1.05,-34.80,33.93,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1330,12,1557232302,1.1,757,36.1,50.4,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:01.341Z,test_29-pool2.1-magcal,true,0.00,15.99,false,false,false,false,false,none,1000,1000,1500,1399,1949,130.1,1620,false,6234,3.05,run,1694,false,true,false,169.2,202576,38.785351,-76.221962,27.70,100,done,138,true,true,-54.67,1.05,-34.80,31.50,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,5,true,1465,12,1557232302,0.9,758,36.0,50.8,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:02.374Z,test_29-pool2.1-magcal,true,0.00,16.05,false,false,false,false,false,none,1000,1000,1500,1399,1002,130.1,1620,false,7255,3.05,run,1500,false,true,false,162.9,202588,38.785351,-76.221954,27.70,100,done,138,true,true,-54.67,1.05,-34.80,30.54,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,1557232302,0.7,759,35.4,50.4,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:03.308Z,test_29-pool2.1-magcal,true,0.00,16.06,false,false,false,false,false,none,1000,1000,1500,1399,2000,124.0,1620,false,8202,3.05,run,1706,false,true,false,156.5,202580,38.785351,-76.221954,27.70,100,done,138,true,true,-54.67,1.05,-34.80,30.79,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,2,true,1465,12,1557232302,0.9,760,35.4,50.4,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:04.341Z,test_29-pool2.1-magcal,true,-0.00,16.05,false,false,false,false,false,none,1000,1000,1221,1399,1002,121.4,1620,false,9230,3.05,run,1294,false,true,false,152.0,202568,38.785347,-76.221947,27.70,100,done,138,true,true,-54.67,1.05,-34.80,34.55,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1465,12,1557232302,0.8,761,34.2,50.4,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:05.325Z,test_29-pool2.1-magcal,true,0.00,15.68,false,false,false,false,false,none,1000,1000,1500,1399,1002,121.4,1620,false,10223,3.05,run,1500,false,true,false,148.3,202576,38.785347,-76.221947,27.70,100,done,138,true,true,-54.67,1.05,-34.80,32.88,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,7,true,1465,12,1557232302,0.5,762,34.2,50.4,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:06.358Z,test_29-pool2.1-magcal,true,-0.00,16.03,false,false,false,false,false,none,1000,1000,1500,1399,2000,121.4,1620,false,11251,3.05,run,1706,false,true,false,144.2,202580,38.785347,-76.221939,27.70,100,done,138,true,true,-54.67,1.05,-34.80,29.92,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,3,true,1465,12,1557232302,0.1,763,33.6,50.0,38.785721,-76.221619,true,38.785297,-76.221962
2026-06-05T15:32:07.392Z,test_29-pool2.1-magcal,true,0.00,16.04,false,false,false,false,false,none,1000,1000,1501,1382,1002,121.4,1620,false,12295,3.05,run,1500,false,true,false,143.0,202580,38.785343,-76.221939,27.70,100,done,138,true,true,-54.67,1.05,-34.80,28.15,MANUAL,false,8.00,3.00,false,false,off,false,3,false,200,25,9,true,1459,12,1557232302,0.4,764,33.3,50.3,38.785721,-76.221619,true,38.785297,-76.221962
